gender;age_category;5km_time;time
0;50;1105;4695
0;50;1160;4915
0;50;1168;5048
0;50;1169;5109
0;50;1190;5150
0;50;1214;5193
0;50;1226;5209
0;50;1256;5224
0;50;1210;5235
0;50;1261;5283
0;50;1174;5325
0;50;1248;5334
0;50;1247;5334
0;50;1278;5354
0;50;1259;5369
0;50;1288;5381
0;50;1255;5452
0;50;1272;5487
0;50;1275;5501
0;50;1277;5514
0;50;1248;5554
0;50;1274;5554
0;50;1280;5569
0;50;1251;5576
0;50;1277;5579
0;50;1268;5619
0;50;1263;5630
0;50;1350;5633
0;50;1264;5634
0;50;1393;5645
0;50;1312;5655
0;50;1332;5665
0;50;1330;5666
0;50;1298;5674
0;50;1328;5691
0;50;1330;5693
0;50;1332;5697
0;50;1343;5701
0;50;1313;5715
0;50;1319;5719
0;50;1348;5743
0;50;1336;5761
0;50;1354;5762
0;50;1364;5765
0;50;1363;5772
0;50;1344;5792
0;50;1319;5809
0;50;1344;5823
0;50;1348;5830
0;50;1363;5839
0;50;1320;5859
0;50;1392;5872
0;50;1398;5872
0;50;1410;5874
0;50;1327;5874
0;50;1344;5881
0;50;1336;5886
0;50;1431;5887
0;50;1292;5894
0;50;1341;5897
0;50;1300;5909
0;50;1404;5921
0;50;1401;5924
0;50;1402;5926
0;50;1382;5928
0;50;1413;5942
0;50;1391;5948
0;50;1415;5956
0;50;1394;5959
0;50;1413;5960
0;50;1467;5961
0;50;1334;5967
0;50;1392;5973
0;50;1429;5974
0;50;1343;5975
0;50;1343;5978
0;50;1363;5980
0;50;1406;5986
0;50;1411;6003
0;50;1378;6012
0;50;1385;6022
0;50;1346;6027
0;50;1421;6030
0;50;1420;6031
0;50;1395;6038
0;50;1389;6040
0;50;1388;6041
0;50;1427;6046
0;50;1375;6051
0;50;1416;6054
0;50;1342;6061
0;50;1409;6078
0;50;1399;6079
0;50;1342;6080
0;50;1385;6082
0;50;1392;6084
0;50;1538;6092
0;50;1504;6096
0;50;1410;6104
0;50;1384;6104
0;50;1509;6105
0;50;1417;6107
0;50;1490;6114
0;50;1424;6128
0;50;1418;6130
0;50;1251;6139
0;50;1418;6151
0;50;1389;6160
0;50;1440;6162
0;50;1412;6162
0;50;1473;6169
0;50;1484;6171
0;50;1458;6172
0;50;1435;6183
0;50;1515;6187
0;50;1413;6195
0;50;1346;6203
0;50;1458;6210
0;50;1582;6213
0;50;1388;6224
0;50;1466;6229
0;50;1520;6231
0;50;1412;6240
0;50;1475;6247
0;50;1477;6247
0;50;1487;6248
0;50;1577;6256
0;50;1481;6261
0;50;1504;6263
0;50;1480;6265
0;50;1450;6272
0;50;1496;6275
0;50;1500;6276
0;50;1446;6284
0;50;1478;6285
0;50;1413;6288
0;50;1480;6290
0;50;1479;6291
0;50;1402;6297
0;50;1491;6301
0;50;1466;6315
0;50;1426;6315
0;50;1421;6317
0;50;1508;6318
0;50;1339;6329
0;50;1455;6333
0;50;1481;6344
0;50;1410;6349
0;50;1419;6349
0;50;1432;6362
0;50;1410;6368
0;50;1477;6371
0;50;1552;6372
0;50;1494;6377
0;50;1472;6380
0;50;1492;6381
0;50;1424;6386
0;50;1406;6391
0;50;1501;6393
0;50;1519;6394
0;50;1473;6396
0;50;1445;6398
0;50;1483;6409
0;50;1542;6414
0;50;1469;6415
0;50;1487;6421
0;50;1521;6428
0;50;1539;6430
0;50;1502;6439
0;50;1454;6443
0;50;1567;6454
0;50;1427;6456
0;50;1428;6456
0;50;1404;6463
0;50;1452;6463
0;50;1539;6467
0;50;1485;6471
0;50;1490;6472
0;50;1530;6479
0;50;1393;6489
0;50;1543;6491
0;50;1468;6491
0;50;1515;6494
0;50;2072;6494
0;50;1540;6494
0;50;1461;6497
0;50;1560;6498
0;50;1543;6506
0;50;1519;6513
0;50;1544;6520
0;50;1511;6525
0;50;1532;6526
0;50;1486;6531
0;50;1559;6533
0;50;1441;6537
0;50;1537;6541
0;50;1517;6543
0;50;1543;6543
0;50;1601;6543
0;50;1443;6544
0;50;1529;6544
0;50;1555;6546
0;50;1541;6551
0;50;1520;6554
0;50;1487;6554
0;50;1579;6556
0;50;1500;6566
0;50;1442;6569
0;50;1567;6576
0;50;1605;6581
0;50;1543;6583
0;50;1550;6587
0;50;1465;6590
0;50;1515;6594
0;50;1505;6596
0;50;1457;6604
0;50;1567;6605
0;50;1527;6621
0;50;1509;6622
0;50;1411;6623
0;50;1579;6625
0;50;1462;6629
0;50;1530;6631
0;50;1478;6632
0;50;1523;6635
0;50;1452;6635
0;50;1483;6636
0;50;1566;6638
0;50;1594;6649
0;50;1587;6657
0;50;1488;6668
0;50;1472;6669
0;50;1527;6677
0;50;1571;6677
0;50;1616;6679
0;50;1598;6683
0;50;1275;6695
0;50;1498;6695
0;50;1497;6698
0;50;1574;6699
0;50;1501;6703
0;50;1556;6709
0;50;1506;6711
0;50;1480;6714
0;50;1577;6719
0;50;1584;6724
0;50;1588;6727
0;50;1597;6735
0;50;1511;6739
0;50;1623;6740
0;50;1679;6747
0;50;1594;6747
0;50;1672;6750
0;50;1581;6755
0;50;1536;6755
0;50;1484;6764
0;50;1530;6769
0;50;1482;6771
0;50;1616;6777
0;50;1505;6778
0;50;1553;6787
0;50;1524;6793
0;50;1465;6796
0;50;1524;6798
0;50;1558;6800
0;50;1506;6802
0;50;1540;6806
0;50;1532;6811
0;50;1595;6816
0;50;1528;6817
0;50;1617;6819
0;50;1594;6820
0;50;1589;6822
0;50;1605;6830
0;50;1627;6830
0;50;1593;6839
0;50;1551;6843
0;50;1540;6849
0;50;1578;6851
0;50;1574;6852
0;50;1569;6858
0;50;1574;6872
0;50;1582;6872
0;50;1574;6874
0;50;1644;6880
0;50;1595;6882
0;50;1569;6884
0;50;1510;6893
0;50;1582;6897
0;50;1651;6902
0;50;1678;6907
0;50;1653;6911
0;50;1603;6911
0;50;1642;6912
0;50;1619;6920
0;50;1625;6920
0;50;1613;6925
0;50;1483;6930
0;50;1588;6930
0;50;1671;6931
0;50;1605;6936
0;50;1624;6936
0;50;1596;6939
0;50;1623;6943
0;50;1613;6944
0;50;1464;6946
0;50;1636;6948
0;50;1598;6948
0;50;1670;6949
0;50;1688;6959
0;50;1524;6961
0;50;1614;6963
0;50;1550;6964
0;50;1638;6970
0;50;1568;6974
0;50;1670;6977
0;50;1840;6979
0;50;1635;6984
0;50;1612;6991
0;50;1606;6994
0;50;1603;6994
0;50;1554;6995
0;50;1563;6997
0;50;1672;6997
0;50;1693;7001
0;50;1649;7009
0;50;1692;7010
0;50;1686;7010
0;50;1627;7011
0;50;1587;7011
0;50;1628;7012
0;50;1586;7015
0;50;1599;7015
0;50;1682;7017
0;50;1712;7023
0;50;1711;7024
0;50;1632;7025
0;50;1506;7025
0;50;1545;7030
0;50;1715;7030
0;50;1666;7034
0;50;1709;7036
0;50;1568;7036
